index,text,answer
1,"Where can I buy tickets?",1
2,"Where can I register?",1
3,"How can I register?",1
4,"Where do I get my tickets?",1
5,"Where can I find the agenda?",2
6,"What does the schedule look like?",2
7,"Where can I find out about which sessions are where?",2
8,"Where can I find the schedule?",2
9,"Where can I find the location of the sessions?",2
10,"Where can I find the location of the next session?",2
11,"Where's the next session?",2
12,"Where can I find an overview of all the sessions?",2
13,"Where can I find more information about the speakers",3
14,"Where can I find the speaker information?",3
15,"Which speakers are presenting sessions?",3
16,"I'm looking for information about a speaker, where can I find that?",3
17,"I need information on a specific speaker, where can I find that?",3
18,"I'm looking for a specific speaker",3
19,"Where's the conference being held?",4
20,"Where's the conference location",4
21,"What's the address of the conference venue?",4
22,"How do I get to the conference venue?",4
23,"I'm interested in the workshops, where can I learn more about them?",5
24,"Where can I find the overview of the workshops",5
25,"I need some information about the workshops",5
26,"What workshops are available?",5
27,"Which workshops can I attend?",5
28,"Where can I find the list of workshops?",5
29,"안녕하세요",6
30,"핸드크림 찾아줘",7
31,"로션 찾아줘",7
32,"립스틱 찾아줘",7
33,"닥터 자르트 마스크 찾아줘",8
34,"닥터 자르트 마스크팩 찾아줘",8
35,"닥터 자르트 마스크 팩 찾아줘",8
36,"닥터자르트 마스크 찾아줘",8
37,"닥터자르트 마스크팩 찾아줘",8
38,"닥터자르트 마스크 팩 찾아줘",8
39,"회원 가입은 어떻게 하나요?",9
40,"회원 탈퇴는 어떻게 하나요?",10
41,"탈퇴 후 재가입이 가능한가요?",11
42,"탈퇴 시 가지고 있던 포인트는 어떻게 되나요?",12
43,"탈퇴 후 이전 주문내역을 조회할 수 있나요?",13
44,"아이디가 기억나지 않아요",14
45,"비밀번호가 기억나지 않아요",15
46,"비밀번호 변경은 어떻게 하나요?",16
47,"아이디를 변경할 수 있나요?",17
48,"회원정보 변경은 어디서 하나요?",18
49,"개명을 했습니다. 이름 수정은 어떻게 하나요?",19
50,"광고성 문자나 PUSH 수신거부는 어떻게 하나요?",20
51,"CJ ONE 멤버십은 어떤건가요?",21
52,"적립한 포인트는 언제까지 사용할 수 있나요?",22
53,"며칠 전에 구매한 상품의 CJ ONE 포인트 적립이 가능한가요?",23
54,"(매장)실물카드가 있어야만 포인트를 사용할 수 있나요?",24
55,"(매장)CJ ONE 카드 발급은 어디서 할 수 있나요?",25
56,"적립한 포인트는 어디서 확인 할 수 있나요?",26
57,"매장에서 CJ ONE 카드를 받았는데 등록하고 싶어요.",27
58,"온라인과 오프라인이 동일한 등급인가요?",28
59,"VIP 조건을 충족했는데 일반 등급으로 보여요. 왜 그런가요?",29
60,"내 등급은 어디서 볼 수 있나요?",30
61,"주문 내역은 어디서 확인할 수 있나요?",31
62,"주문 취소는 어떻게 하나요?",32
63,"상품준비중에는 취소가 불가능한가요?",33
64,"결제수단 변경이 가능한가요?",34
65,"여러 결제수단으로 나눠서 결제할 수 있나요?",35
66,"온라인몰에서 현금영수증은 어떻게 받나요?",36
67,"비회원으로 구매할 수 있나요?",37
68,"전화로도 주문할 수 있나요?",38
69,"장바구니에 담은 상품은 얼마동안 보관되나요?",39
70,"장바구니에 담아둔 상품이 없어졌어요",40
71,"주문한 상품 옵션을 변경하고 싶어요",41
72,"1+1 상품 주문할때 수량은 1개만 하면 되나요?",42
73,"세일이라는데 세일가격이 안나와요",43
74,"체크카도로도 결제가 가능한가요?",44
75,"신용카드 영수증을 발급받고 싶어요",45
76,"법인카드로 결제할 수 있나요?",46
77,"법인카드로 할부 결제할 수 있나요?",47
78,"할부결제 후 부분취소해서 5만원이 안되면 일시불로 변경되나요?",48
79,"인터넷안전결제(ISP) 서비스가 무엇인가요?",49
80,"인터넷안전결제(ISP) 비밀번호가 기억나지 않아요",50
81,"청구할인 이벤트 중인 카드로 결제했는데 할인이 안됐어요",51
82,"결제가 불가능한 신용카드가 있나요?",52
83,"무통장입금 이용 방법은 어떻게 되나요?",53
84,"주문 후에 언제까지 입금해야 하나요?",54
85,"입금 후에 입금확인은 언제 되나요?",55
86,"입금 확인이 됐는지 어떻게 알 수 있나요?",56
87,"주문 접수 후에 은행을 변경할 수 있나요?",57
88,"주문자와 다른 이름으로 입금해도 되나요?",58
89,"주문한 상품 금액과 다르게 입금하면 어떻게 하나요?",59
90,"무통장입금 주문이 가능한 은행은 어떤 곳이 있나요?",60
